Sample,Probe target,Height,Area,Final.ratio,Stdev,symbol
167J,21-037.919589,2496,19295,0.79,0.23,References KCNJ6
167L,01-001.274237,685,5244,0.45,0.17,DVL1-1
167L,01-003.150503,417,5079,0.43,0.16,PRDM16-3
167L,01-006.150830,524,5880,0.54,0.2,CHD5-2
167L,01-007.727575,929,8966,0.54,0.17,CAMTA1-18
167L,01-010.214967,2244,16330,0.99,0.3,KIF1B-2
167L,03-010.158544,666,5937,0.33,0.13,VHL-1
167L,03-010.163233,1106,11373,0.71,0.22,VHL-2
167L,03-059.972109,1798,16038,1.24,0.39,FHIT-7
167L,03-060.782680,1716,15952,1.06,0.35,FHIT-4
167L,05-112.182873,1110,9626,0.84,0.26,APC-12
167L,05-112.206814,1026,11520,1.09,1,APC-18
167L,09-021.958641,694,8670,0.39,0.12,CDKN2A-4
167L,09-021.961213,627,4473,0.31,0.1,CDKN2A-3
167L,09-021.998809,390,4700,0.29,1,CDKN2B-1
167L,09-097.258441,1332,10803,0.57,0.19,PTCH1-20
167L,09-097.284232,2688,24407,1.91,0.62,PTCH1-5
167L,09-134.767854,2012,17728,0.8,1,TSC1-18
167L,09-134.809748,1485,13677,0.71,0.25,TSC1-1
167L,10-089.680713,2155,22240,1.46,0.48,PTEN-4
167L,10-089.682864,2174,21474,1.13,0.36,PTEN-5
