Sample,,Probe target info,Height,Area,Intra ratio,Pre ratio,Final ratio,Stdev,RefPop,SamPop,d(nt),Width
167C,[17q (n=5)].[BRCA1-15],17-038.479889,1667,20284,0.89,0.98,0.9,0.16,Equal,Equal,0.06,61
167C,[17q (n=5)].[BRCA1-6],17-038.510430,1208,12648,1.03,1.11,1.03,0.17,Equal,Equal,-0.01,49
167C,[18q (n=2)].[SMAD4-4],18-046.829678,1365,16057,0.93,1.03,0.94,0.17,Equal,Equal,0.06,62
167C,[18q (n=2)].[SMAD4-12],18-046.858705,1066,15172,0.88,0.99,0.87,1,Equal,Equal,-0.16,63
167C,[19p (n=4)].[STK11-1],19-001.157954,1167,11008,0.84,0.91,0.84,0.17,Equal,Equal,-0.01,46
167C,[19p (n=4)].[STK11-3],19-001.170331,690,7551,0.71,0.77,0.71,0.13,Equal,Equal,0.02,42
167C,[19p (n=4)].[FKBP8-9],19-018.503959,903,11213,0.86,0.94,0.86,0.17,Equal,Equal,0.02,57
167C,[19p (n=4)].[FKBP8-4],19-018.511130,908,9451,0.75,0.82,0.75,0.14,Equal,Equal,0.04,46
167C,[22q (n=2)].[SMARCB1-1],22-022.459352,980,11784,0.81,0.9,0.82,0.19,Equal,Equal,-0.01,58
167C,[22q (n=2)].[SMARCB1-9],22-022.506421,928,8526,0.7,0.76,0.71,0.12,Equal,Equal,-0.03,40
167C,[Xq (n=2)].[AMER1-2],X-063.326842,290,3794,0.9,1.01,0.88,1,Equal,Equal,-0.1,48
167C,[Xq (n=2)].[AMER1-1],X-063.342134,1064,9005,0.99,1.07,0.99,0.24,Equal,Equal,0,44
167C,[References (n=12)].[PEX13*],02-061.126370,1507,21412,1.16,1.31,1.15,0.21,Equal,Equal,-0.04,74
167C,[References (n=12)].[COL3A1*],02-189.557818,2128,22632,1.2,1.31,1.21,0.19,Equal,Equal,0.04,59
167C,[References (n=12)].[WHSC1*],04-001.902193,916,13448,0.85,0.96,0.84,1,Equal,Equal,-0.21,67
167C,[References (n=12)].[KLKB1*],04-187.390323,1804,16821,0.96,1.04,0.96,0.15,Equal,Equal,0.01,56
167C,[References (n=12)].[IL4*],05-132.037607,2166,17473,1.08,1.16,1.08,0.19,Equal,Equal,0.05,46
167C,[References (n=12)].[EYS*],06-065.588251,1512,17988,1.1,1.22,1.11,0.21,Equal,Equal,0.08,62
167C,[References (n=12)].[SEC63*],06-108.321498,1224,17146,1.04,1.17,1.04,0.16,Equal,Equal,-0.11,68
167C,[References (n=12)].[MTMR2*],11-095.238425,1613,16955,1.34,1.47,1.35,0.28,Ambiguous,Ambiguous,0.14,59
167C,[References (n=12)].[MYH7*],14-022.972596,1370,12130,0.79,0.85,0.79,0.13,Equal,Equal,0.12,54
167C,[References (n=12)].[SPG11*],15-042.653071,900,12185,0.89,0.99,0.89,0.17,Equal,Equal,-0.18,55
167C,[References (n=12)].[PLCG2*],16-080.537323,705,9435,0.6,0.67,0.6,0.11,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.19,63
167C,[References (n=12)].[KCNJ6*],21-037.919589,1353,11752,0.82,0.88,0.82,0.18,Equal,Equal,-0.02,61
167D,[01p (n=5)].[DVL1-1],01-001.274237,2168,16038,1.16,1.22,1.13,0.25,Equal,Equal,0.01,42
167D,[01p (n=5)].[PRDM16-3],01-003.150503,1006,13480,1.03,1.07,1.04,0.22,Equal,Equal,0.01,70
167D,[01p (n=5)].[CHD5-2],01-006.150830,846,11724,1.01,1.04,1,0.27,Equal,Equal,-0.04,52
167D,[01p (n=5)].[CAMTA1-18],01-007.727575,1719,17918,0.97,1.01,0.96,0.12,Equal,Equal,-0.02,50
167D,[01p (n=5)].[KIF1B-2],01-010.214967,2643,19129,0.98,1.03,0.97,0.13,Equal,Equal,0.02,44
167D,[03p (n=4)].[VHL-1],03-010.158544,2239,20101,0.96,1,0.95,0.21,Equal,Equal,-0.01,42
167D,[03p (n=4)].[VHL-2],03-010.163233,1308,14952,0.84,0.88,0.84,0.11,Equal,Equal,0.01,51
167D,[03p (n=4)].[FHIT-7],03-059.972109,1741,16311,1.11,1.16,1.1,0.15,Equal,Equal,-0.05,62
167D,[03p (n=4)].[FHIT-4],03-060.782680,1488,14850,0.88,0.92,0.87,0.13,Equal,Equal,-0.03,47
167D,[05q (n=2)].[APC-12],05-112.182873,1668,14868,1.15,1.2,1.14,0.13,Equal,Equal,0.02,56
167D,[05q (n=2)].[APC-18],05-112.206814,1133,14333,1.25,1.3,1.19,1,Equal,Equal,0.01,78
167D,[09p (n=3)].[CDKN2A-4],09-021.958641,1990,20597,0.79,0.83,0.79,0.13,Equal,Equal,-0.05,85
167D,[09p (n=3)].[CDKN2A-3],09-021.961213,1589,11467,0.67,0.71,0.67,0.08,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.01,46
167D,[09p (n=3)].[CDKN2B-1],09-021.998809,1153,15130,0.8,0.83,0.79,1,Equal,Equal,-0.07,62
167D,[09q (n=4)].[PTCH1-20],09-097.258441,2544,20912,0.95,1,0.94,0.12,Equal,Equal,0.03,71
167D,[09q (n=4)].[PTCH1-5],09-097.284232,1903,17695,1.21,1.27,1.2,0.15,Equal,Equal,0.02,54
167D,[09q (n=4)].[TSC1-18],09-134.767854,3243,30649,1.18,1.23,1.16,1,Equal,Equal,0.09,56
167D,[09q (n=4)].[TSC1-1],09-134.809748,3646,32890,1.48,1.55,1.47,0.26,Increased1StdDevAboveArbitraryBorder,Increased1StdDevAboveArbitraryBorder,0.03,89
167D,[10q (n=3)].[PTEN-4],10-089.680713,1571,17063,1,1.04,0.99,0.13,Equal,Equal,0,56
167D,[10q (n=3)].[PTEN-5],10-089.682864,1832,20544,0.97,1.01,0.96,0.12,Equal,Equal,-0.03,54
167D,[10q (n=3)].[PTEN-8],10-089.710865,1530,18902,1.12,1.16,1.09,0.17,Equal,Equal,0,71
167D,[11p (n=2)].[WT1-11],11-032.366613,1725,23586,1.32,1.37,1.29,0.26,Equal,Equal,-0.01,73
167D,[11p (n=2)].[WT1-1],11-032.413841,2452,21014,1.16,1.22,1.15,0.22,Equal,Equal,0.05,56
167D,[13q (n=6)].[BRCA2-3],13-031.791351,2186,16132,0.86,0.91,0.86,0.11,Equal,Equal,0.01,50
167D,[13q (n=6)].[BRCA2-9],13-031.803112,2684,22525,0.92,0.97,0.92,0.12,Equal,Equal,0.01,80
167D,[13q (n=6)].[RB1-3],13-047.814761,884,11566,0.56,0.58,0.55,0.07,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.06,54
167D,[13q (n=6)].[RB1-25],13-047.948892,1336,14156,0.57,0.59,0.56,0.07,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.01,58
167D,[13q (n=6)].[MIR15A-1],13-049.521254,2295,16915,0.54,0.57,0.53,0.06,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,0.01,53
167D,[13q (n=6)].[DLEU1-2],13-049.576833,1843,14317,0.7,0.74,0.69,0.1,Decreased1StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,0,63
167D,[16p (n=3)].[TSC2-1],16-002.038612,1938,13664,0.95,1,0.93,0.13,Equal,Equal,0,52
167D,[16p (n=3)].[TSC2-25],16-002.067648,1142,12818,1.05,1.09,1.04,0.17,Equal,Equal,-0.05,54
167D,[16p (n=3)].[TSC2-38],16-002.076651,1768,14672,0.84,0.88,0.83,0.15,Equal,Equal,0.01,49
167D,[17p (n=3)].[TP53-10],17-007.514677,515,6964,0.45,0.46,0.43,1,Ambiguous,Ambiguous,-0.02,51
